Timestamp,Cars,Buses,Trucks,Motorcycles,Light Duration,,,carstime,,bus+truck time,motorcycle time
9.5,19,0,1,30,50.25,,,19,,1.75,27
10.5,27,1,2,35,66.25,,,27,,5.25,31.5
11.5,13,1,1,28,44.2,,,13,,3.5,25.2
12.5,14,2,1,30,48.75,,,14,,5.25,27
1.5,14,3,3,17,42.3,,,14,,10.5,15.3
2.5,12,1,2,19,36.85,,,12,,5.25,17.1
3.5,9,0,2,18,31.2,,,9,,3.5,16.2
4.5,13,2,3,24,45.85,,,13,,8.75,21.6
5.5,35,3,4,38,83.95,,,35,,12.25,34.2
6.5,32,1,2,35,71.25,,,32,,5.25,31.5
7.5,25,2,1,29,58.85,,,25,,5.25,26.1
8.5,18,1,2,20,43.75,,,18,,5.25,18
